Technology,Description,Relation (Analysis/Engineering),Employability (1-5),Popularity (1-5),Ease of Learning (1-5),Usefulness (1-5),Typical Use Cases,Common Pairings,Open Source,Cloud Affinity,Workload Scale,Learning Priority
SQL,Standard language to query and transform data in relational databases.,Both,5,5,4,5,"Analytics queries, data modeling, ETL/ELT transformations","PostgreSQL, MySQL, Snowflake, BigQuery, dbt, Power BI",Yes,Any,Small/Medium/Large,High
Python (pandas/NumPy),General-purpose language with core libraries for data manipulation and analysis.,Both,5,5,4,5,"Data cleaning, notebooks, ETL scripts, ML prototyping","Jupyter, Spark, Airflow, scikit-learn, AWS Lambda",Yes,Any,Small/Medium (scripted),High
Power BI,BI platform for interactive reports and dashboards.,Analysis,5,5,4,4,"Business dashboards, self-service analytics, KPI reporting","SQL Server, Azure Synapse, Excel, DAX, Power Query",No,Azure,Small/Medium,High
Tableau,Visual analytics platform for advanced data exploration.,Analysis,4,4,3,4,"Exploratory analysis, storytelling, executive dashboards","Snowflake, PostgreSQL, BigQuery, Prep",No,Any,Small/Medium,Medium
Excel (analytics),Ubiquitous spreadsheet for quick analysis and lightweight dashboards.,Analysis,4,5,5,4,"Ad hoc analysis, data cleaning, KPI tracking","Power Query, Power BI, CSV/Parquet exports",No,Any,Small,Medium
Apache Airflow,Workflow orchestrator for production data pipelines.,Engineering,4,4,3,4,"Scheduled ETL/ELT, dependency management, data SLAs","Spark, BigQuery, Redshift, Snowflake, Docker, Kubernetes",Yes,Any,Medium/Large,High
dbt,SQL-first framework for transformations inside the data warehouse.,Engineering,4,4,4,4,"Data modeling, tests, documentation, ELT transformations","Snowflake, BigQuery, Redshift, Postgres, Airflow",Mixed,Any,Medium/Large,High
Apache Spark / PySpark,Distributed processing engine for large-scale batch and ML workloads.,Engineering,4,4,2,5,"Large-scale ETL, feature engineering, lakehouse processing","Delta Lake, Parquet, Databricks, S3/ADLS/GCS",Yes,Any,Large,High
Apache Kafka,Event streaming platform and durable commit log for real-time data.,Engineering,4,4,2,5,"Real-time pipelines, CDC, event-driven architectures","Flink, ksqlDB, Spark Structured Streaming, Kinesis",Yes,Any,Real-time/Large,High
BigQuery,Serverless data warehouse on Google Cloud for analytics/ELT.,Engineering,4,4,4,4,"Analytical warehousing, ELT, federated queries, ML with BQML","Dataflow, Looker, dbt, GCS, Pub/Sub",No,GCP,Medium/Large,High
Snowflake,Cloud data warehouse with separation of storage and compute; multi-cloud.,Engineering,4,4,4,4,"Analytical warehousing, data sharing, ELT, governance","dbt, Fivetran, Power BI, Tableau, Airflow",No,Any,Medium/Large,High
Amazon Redshift,Managed data warehouse service on AWS.,Engineering,3,3,3,4,"Data warehousing within AWS stack, ELT","S3, Glue, QuickSight, dbt, Airflow",No,AWS,Medium/Large,Medium
AWS (data ecosystem),"Cloud platform with data ingestion, storage, compute, ML and governance.",Engineering,5,5,3,5,"End-to-end data platforms, lakehouse, real-time, ML","S3, Glue, Redshift, EMR, Lambda, Kinesis, Athena",No,AWS,Any,High
Azure (data),"Microsoft cloud data stack (ADLS, Synapse, ADF, Databricks, Fabric).",Engineering,4,4,3,4,"Data warehousing, lakehouse, enterprise BI, ML","Synapse/Fabric, ADLS, ADF, Power BI, Databricks",No,Azure,Any,Medium
Google Cloud (data),"GCP data stack (GCS, BigQuery, Dataflow, Pub/Sub, Vertex AI).",Engineering,4,4,3,4,"Serverless analytics, streaming, ML/GenAI integration","BigQuery, Dataflow, Pub/Sub, Looker",No,GCP,Any,Medium
Docker,Containerization to package and run apps/pipelines consistently.,Engineering,4,5,3,4,"Local dev, CI/CD, reproducible data pipelines","Airflow, Spark, dbt, Kafka, Kubernetes",Mixed,Any,Any,High
Kubernetes,"Container orchestration for scalable, resilient workloads.",Engineering,3,4,2,4,"Distributed pipelines, microservices for data platforms","Docker, Spark, Kafka, Airflow, Helm, Argo",Yes,Any,Any,Medium
PostgreSQL,Leading relational database known for stability and extensions.,Both,4,5,4,4,"OLTP/OLAP hybrid, analytics marts, app backends","SQL, dbt, Airflow, Metabase, Timescale",Yes,Any,Small/Medium,High
MySQL,Popular relational database for web apps and simple analytics.,Both,3,5,4,3,"App backends, small analytics marts","SQL, Airflow, Power BI, Looker Studio",Yes,Any,Small/Medium,Medium
SQL Server,Microsoft relational DB with integrated BI/ETL ecosystem.,Both,3,4,3,3,"Enterprise apps, warehousing with SSIS/SSAS/SSRS","Power BI, Azure Synapse/Fabric, SSIS",No,Azure,Small/Medium,Medium
MongoDB,Document-oriented NoSQL DB for semi-structured data.,Engineering,3,4,4,3,"Event logs, product/catalog data, flexible schemas","Kafka, Spark, Python, Atlas, BI connectors",Mixed,Any,Small/Medium/Large,Medium
Looker / Looker Studio,Semantic modeling (Looker) and lightweight reporting (Studio) on GCP.,Analysis,3,4,4,3,"Modeled BI layer, dashboards, self-service analytics","BigQuery, Google Sheets, dbt",No,GCP,Small/Medium,Medium
Parquet,"Open, columnar, compressed file format optimized for analytics.",Engineering,4,5,4,5,"Data lakes, lakehouse, efficient storage and scans","Spark, Hive, Presto/Trino, S3/ADLS/GCS",Yes,Any,Large,High
Delta Lake,ACID transactions and time travel over data lakes.,Engineering,3,4,3,4,"Lakehouse tables, upserts/merges, schema evolution","Spark, Databricks, Parquet, S3/ADLS/GCS",Yes,Any,Large,Medium
Apache Iceberg,Open table format for lakehouse with modern partitioning and catalog.,Engineering,3,3,3,4,"Open lakehouse, multi-engine tables, schema evolution","Spark, Flink, Trino, Athena, Glue",Yes,Any,Large,Medium
Great Expectations,Data quality testing/validation framework for pipelines.,Engineering,2,3,3,4,"Data validation, contracts, CI for data quality","Airflow, dbt, Spark, Pandas, S3/ADLS/GCS",Yes,Any,Small/Medium/Large,Medium
